Area,Months,Year,Temperature change,RollingMean_5Y
France,November,1993,-1.907,0.22800000000000004
France,December,1993,1.912,0.4248
France,,1993,0.902,
France,,1993,1.049,
France,,1993,0.573,
France,,1993,-1.344,
France,,1993,0.295,
France,January,1994,1.971,1.2579999999999998
France,February,1994,0.949,0.7532000000000001
France,March,1994,2.927,1.8219999999999998
France,April,1994,-0.467,0.1286
France,May,1994,1.024,1.2074
France,June,1994,1.04,0.3278
France,July,1994,3.162,1.3481999999999998
France,August,1994,2.207,2.0816000000000003
France,September,1994,-0.607,0.184
France,October,1994,0.541,-0.2642000000000001
France,November,1994,3.552,0.8628
France,December,1994,2.268,0.5578
France,,1994,1.611,
France,,1994,1.161,
France,,1994,2.136,
France,,1994,1.162,
France,,1994,1.518,
France,January,1995,1.04,1.123
France,February,1995,3.267,0.48200000000000004
France,March,1995,-0.116,1.355
France,April,1995,0.715,0.32520000000000004
France,May,1995,0.866,0.8735999999999999
France,June,1995,-0.049,0.30119999999999997
France,July,1995,2.908,1.6515999999999997
France,August,1995,2.031,2.0082
France,September,1995,-1.296,-0.11980000000000002
France,October,1995,3.193,-0.002000000000000046
France,November,1995,0.694,0.93
France,December,1995,-0.119,0.8208
France,,1995,2.192,
France,,1995,0.488,
France,,1995,1.63,
France,,1995,0.864,
France,,1995,1.294,
France,January,1996,2.004,1.411
France,February,1996,-1.22,0.6432
France,March,1996,-0.485,0.7541999999999999
France,April,1996,0.969,0.612
France,May,1996,-0.323,1.0799999999999998
France,June,1996,1.506,0.7731999999999999
France,July,1996,0.381,1.4174000000000002
France,August,1996,0.324,1.536
France,September,1996,-1.709,-0.9152000000000001
France,October,1996,0.335,0.22319999999999993
France,November,1996,0.223,0.9686
France,December,1996,-0.713,0.8273999999999999
France,,1996,0.222,
France,,1996,0.054,
France,,1996,0.737,
France,,1996,-0.384,
France,,1996,0.157,
France,January,1997,-0.766,1.349
France,February,1997,2.929,1.0694
France,March,1997,2.941,1.1233999999999997
France,April,1997,0.729,0.665
France,May,1997,1.51,0.8991999999999999
France,June,1997,0.395,0.8493999999999999
France,July,1997,0.216,1.2468000000000001
France,August,1997,3.194,1.7107999999999997
France,September,1997,1.47,-0.6174
France,October,1997,0.983,0.7741999999999999
France,November,1997,1.643,0.841
France,December,1997,1.336,0.9367999999999999
France,,1997,0.483,
France,,1997,1.727,
France,,1997,1.268,
France,,1997,1.365,
France,,1997,1.211,
France,January,1998,1.737,1.1972
France,February,1998,2.229,1.6308
France,March,1998,1.542,1.3618
France,April,1998,0.093,0.40780000000000005
France,May,1998,2.042,1.0238
France,June,1998,1.166,0.8116
France,July,1998,0.548,1.443
France,August,1998,1.508,1.8527999999999998
France,September,1998,0.361,-0.3562
France,October,1998,0.093,1.029
France,November,1998,-1.565,0.9094000000000001
France,December,1998,0.411,0.6365999999999999
France,,1998,1.767,
France,,1998,1.226,
France,,1998,1.074,
France,,1998,-0.37,
France,,1998,0.924,
France,January,1999,2.253,1.2536
France,February,1999,-0.071,1.4268
France,March,1999,1.524,1.0812
France,April,1999,1.133,0.7278
France,May,1999,2.562,1.3314
France,June,1999,0.501,0.7038
France,July,1999,1.931,1.1968
France,August,1999,1.644,1.7402000000000002
France,September,1999,2.228,0.21080000000000002
France,October,1999,0.82,1.0848
France,November,1999,-0.663,0.06640000000000001
France,December,1999,0.669,0.3168
France,,1999,0.864,
France,,1999,1.74,
France,,1999,1.359,
France,,1999,0.795,
France,,1999,1.19,
France,January,2000,0.362,1.1179999999999999
France,February,2000,2.548,1.283
France,March,2000,1.111,1.3265999999999998
France,April,2000,0.918,0.7684000000000001
France,May,2000,2.309,1.6199999999999999
France,June,2000,1.781,1.0698
France,July,2000,-0.579,0.4994000000000002
France,August,2000,1.808,1.6956
France,September,2000,1.25,0.72
France,October,2000,0.587,0.5635999999999999
France,November,2000,1.326,0.19280000000000003
France,December,2000,2.911,0.9228
France,,2000,1.193,
France,,2000,1.446,
France,,2000,1.003,
France,,2000,1.054,
France,,2000,1.174,
France,January,2001,1.876,1.0924
France,February,2001,1.478,1.8226
France,March,2001,2.578,1.9392
France,April,2001,-0.079,0.5588
